itemNum,title,source,description,link
item-1,Gen AI and the future of work: what businesses need to know,Cognizant,Temporary text until I replace,https://www.cognizant.com/us/en/aem-i/generative-ai-future-of-work
item-1-1,"The organization of the future: Enabled by gen AI, driven by people",McKinsey & Company,Temporary text until I replace,https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-organization-of-the-future-enabled-by-gen-ai-driven-by-people
